SNO.,ROLL NUMBER,Q1 (5),Q2 (5),Q3 (5),Q4 (5),Q5 (5),Q6 (5),Q7 (5),Q8 (5),Q9 (5),Q10 (5),Q11 (5),Q12 (5),Top 9 (out of 45),Out of 30
291,102203966,3,3,AB,4,4,5,5,AB,4,4,5,5,39,26.0
292,102203969,AB,2,AB,5,4,3,4,4,5,5,5,5,40,26.7
293,102203970,3,1,4,4,5,5,4,4,4,AB,5,5,40,26.7
294,102253001,4,3,5,4,2,5,2,AB,5,5,4,5,40,26.7
295,102383007,5,3,5,4,4,5,3,3,5,5,4,5,42,28.0
296,102383009,AB,3,2,4,2,3,5,3,AB,5,5,5,35,23.3
297,102383011,5,3,4,5,4,5,AB,5,5,AB,5,3,41,27.3
298,102383012,4,5,3,4,4,3,5,5,5,4,5,AB,41,27.3
299,102383013,4,AB,4,4,4,4,2,4,5,5,5,4,39,26.0
300,102383015,4,3,4,5,3,5,5,4,4,4,4,5,40,26.7
301,102383016,AB,2,4,4,2,4,4,5,5,5,4,5,40,26.7
302,102383055,AB,1,AB,2,4,0,2,1,5,4,5,4,28,18.7
303,102103383,AB,AB,AB,AB,AB,AB,3,4,5,4,4,4,24,16.0
304,102103516,AB,AB,AB,AB,AB,AB,4,3,AB,AB,AB,AB,7,4.7
305,102103783,AB,AB,4,1,2,4,5,4,5,5,4,4,37,24.7
306,102203001,4,4,5,4,4,5,5,2,5,5,5,5,43,28.7
307,102203106,5,5,5,5,3,5,4,5,5,5,4,5,45,30.0
308,102203116,4,4,3,AB,AB,5,4,5,5,5,5,4,41,27.3
309,102203228,AB,AB,4,5,3,3,AB,AB,4,5,AB,AB,24,16.0
310,102203327,5,5,5,AB,3,4,4,3,4,5,4,3,39,26.0
311,102203357,2,2,4,AB,4,AB,AB,4,5,5,AB,AB,26,17.3
312,102203388,5,5,1,3,AB,4,4,5,2,5,4,5,40,26.7
313,102203411,AB,AB,3,1,2,4,2,4,5,4,5,5,34,22.7
314,102203425,5,5,5,4,4,AB,3,4,4,5,5,5,42,28.0
315,102203439,5,5,5,4,3,5,4,3,5,4,4,5,42,28.0
316,102203440,5,5,5,5,5,5,3,4,5,5,5,5,45,30.0
317,102203441,4,4,4,5,4,4,5,5,5,4,AB,AB,40,26.7
318,102203446,5,5,5,4,2,5,4,3,4,5,5,5,43,28.7
319,102203448,5,5,5,4,2,5,2,4,3,4,5,5,42,28.0
320,102203449,5,5,3,3,5,5,5,4,5,5,5,5,45,30.0
321,102203450,5,5,5,4,5,4,3,4,5,5,4,4,42,28.0
322,102203451,5,5,5,5,3,5,4,4,4,5,5,5,44,29.3
323,102203455,2,2,5,5,4,4,5,3,5,4,4,4,40,26.7
324,102203456,4,4,5,5,3,4,2,5,4,5,5,5,42,28.0
